X,Y,fid,id,@id,description,fixme,height,highway,lamp_model,lamp_mount,lamp_type,leaf_type,level,light:count,light:lit,light:power,light:tilt,man_made,operator,source,support,tower:type,Z_1
75643.2969284159,71463.2388673534,6861,node/10685208458,node/10685208458,,,,street_lamp,,,,,,,,,,,,,,,300.892517089844
75680.061587801,71458.2050293256,6862,node/10685208459,node/10685208459,,,,street_lamp,,,,,,,,,,,,,,,300.845001220703
75547.571153863,71427.1681015112,6863,node/10685208460,node/10685208460,,,,street_lamp,,,,,,,,,,,,,,,302.332489013672
75553.5854405355,71405.519504333,6864,node/10685208461,node/10685208461,,,,street_lamp,,,,,,,,,,,,,,,303.510009765625
75558.8778844193,71385.539821027,6865,node/10685208462,node/10685208462,,,,street_lamp,,,,,,,,,,,,,,,304.242492675781
75564.4024005243,71366.3051429251,6866,node/10685208463,node/10685208463,,,,street_lamp,,,,,,,,,,,,,,,305.192504882812
77684.6194469326,73948.567780288,6867,node/10732732624,node/10732732624,,,,street_lamp,,,,,,,,,,,,,,,282.942504882812
78205.6006572639,74588.1050725491,6869,node/10846184169,node/10846184169,,,,street_lamp,,,electric,,,,,,,,,,pole,,301.760009765625
78219.968834365,74607.2085070919,6870,node/10846184170,node/10846184170,,,,street_lamp,,,electric,,,,,,,,,,pole,,313.075012207031
77801.8786523069,74056.773066642,6938,node/11057058059,node/11057058059,,,,street_lamp,,,electric,,,,,,,,,,pole,,282.822509765625
78381.5183102919,73199.4770535663,6951,node/11141560753,node/11141560753,,,,street_lamp,,,electric,,,,,,,,,,pole,,293.852508544922
78987.8015572889,73478.2381444482,6952,node/11141560754,node/11141560754,,,,street_lamp,,,electric,,,,,,,,,,pole,,311.327484130859
78838.358061384,73612.844901494,6953,node/11141560755,node/11141560755,,,,street_lamp,,,electric,,,,,,,,,,pole,,303.022491455078
78877.9959989184,73609.6672302246,6954,node/11141560756,node/11141560756,,,,street_lamp,,,electric,,,,,,,,,,pole,,305.077484130859
78912.8898933109,73597.8265369153,6955,node/11141560757,node/11141560757,,,,street_lamp,,,electric,,,,,,,,,,pole,,306.559997558594
78803.223717891,73614.398080927,6956,node/11141560758,node/11141560758,,,,street_lamp,,,electric,,,,,,,,,,pole,,301.267486572266
78719.77386968,73640.3975523101,6957,node/11141560759,node/11141560759,,,,street_lamp,,,electric,,,,,,,,,,pole,,298.752502441406
78711.3959774377,73644.347813443,6958,node/11141560760,node/11141560760,,,,street_lamp,,,electric,,,,,,,,,,pole,,297.942504882812
78574.6062088472,73773.231087128,6959,node/11141560761,node/11141560761,,,,street_lamp,,,electric,,,,,,,,,,pole,,289.040008544922
78052.0221217693,74117.2523327154,6960,node/11141560762,node/11141560762,,,,street_lamp,,,electric,,,,,,,,,,pole,,285.317504882812
78029.4714599163,74104.7143232884,6961,node/11141560763,node/11141560763,,,,street_lamp,,,electric,,,,,,,,,,pole,,285.429992675781
78078.2672539902,74131.913517277,6962,node/11141560764,node/11141560764,,,,street_lamp,,,electric,,,,,,,,,,pole,,286.017517089844
78107.0935363584,74148.5537156853,6963,node/11141560765,node/11141560765,,,,street_lamp,,,electric,,,,,,,,,,pole,,286.057495117188
78006.775969902,74091.7538146313,6964,node/11141560766,node/11141560766,,,,street_lamp,,,electric,,,,,,,,,,pole,,284.892486572266
77983.5306406793,74077.8259652219,6965,node/11141560767,node/11141560767,,,,street_lamp,,,electric,,,,,,,,,,pole,,285.720001220703
77951.5439237153,74059.2300643179,6966,node/11141560768,node/11141560768,,,,street_lamp,,,electric,,,,,,,,,,pole,,283.845001220703
